BP ,BP.,0798059,FTSE 100,473.500000,
GlaxoSmithKline,GSK,0925288,FTSE 100,1226.000000,
HSBC Hldgs ,HSBA,0540528,FTSE 100,702.000000,
Vodafone Group,VOD,0719210,FTSE 100,89.500000,
Royal Bank Of Scotland Group ,RBOS,0754783,FTSE 100,1440.000000,
Astrazeneca,AZN,0989529,FTSE 100,2335.000000,
Shell Transport & Trading Co ,SHEL,0803414,FTSE 100,406.000000,
Shell Transport & Trading Co (Br),SHEB,0803425,Ineligible,500.000000,
Lloyds TSB Group ,LLOY,0870612,FTSE 100,572.000000,
Barclays ,BARC,3134865,FTSE 100,410.000000,
HBOS,HBOS,3058750,FTSE 100,686.500000,
Diageo,DGE,0237400,FTSE 100,766.000000,
Unilever,ULVR,0574873,FTSE 100,576.500000,
BT Group ,BT.A,3091357,FTSE 100,188.250000,
British American Tobacco,BATS,0287580,FTSE 100,712.500000,
Tesco ,TSCO,0884709,FTSE 100,207.000000,
Rio Tinto,RIO,0718875,FTSE 100,981.000000,
Aviva,AV.,0216238,FTSE 100,463.000000,
Anglo American,AAL,0490151,FTSE 100,698.000000,
British Sky Broadcasting Group ,BSY,0141192,FTSE 100,539.000000,
Abbey National ,ANL,0004455,FTSE 100,696.500000,
BG Group,BG.,0876289,FTSE 100,262.000000,
Cadbury Schweppes ,CBRY,0610700,FTSE 100,438.000000,
BAE Systems,BA.,0263494,FTSE 100,295.000000,
Prudential ,PRU,0709954,FTSE 100,451.000000,
National Grid Group,NGG,3122387,FTSE 100,435.000000,
Imperial Tobacco Group,IMT,0454492,FTSE 100,1006.000000,
Marks & Spencer Group ,MKS,3127489,FTSE 100,313.500000,
Reckitt Benckiser,RB.,0727871,FTSE 100,1075.000000,
Standard Chartered,STAN,0408284,FTSE 100,599.000000,
Scottish Power,SPW,0690070,FTSE 100,350.000000,
Compass Group,CPG,0533153,FTSE 100,292.000000,
Reed Elsevier,REL,0730835,FTSE 100,511.500000,
Centrica,CNA,0573438,FTSE 100,152.000000,
BHP Billiton,BLT,0056650,FTSE 100,259.500000,
Sainsbury (J) ,SBRY,0767640,FTSE 100,304.000000,
Lattice Group,LAT,0976640,FTSE 100,162.500000,
Legal & General Group,LGEN,0560399,FTSE 100,108.250000,
Scottish & Southern Energy,SSE,0790873,FTSE 100,636.000000,
BAA ,BAA,0067340,FTSE 100,497.500000,
WPP Group,WPP,0974042,FTSE 100,430.000000,
Six Continents,SXC,0243195,FTSE 100,555.000000,
Boots Co ,BOOT,0111441,FTSE 100,545.500000,
Scottish & Newcastle,SCTN,0783969,FTSE 100,561.000000,
Kingfisher ,KGF,3073850,FTSE 100,184.500000,
Associated British Foods,ABF,0673123,FTSE 100,580.500000,
Pearson ,PSON,0677608,FTSE 100,563.500000,
GUS,GUS,0384704,FTSE 100,440.000000,
SABMiller,SAB,0483548,FTSE 100,440.000000,
Rentokil Initial,RTO,0732712,FTSE 100,226.000000,
BOC Group ,BOC,0108120,FTSE 100,838.000000,
Allied Domecq ,ALLD,0729457,FTSE 100,370.750000,
Gallaher Group,GLH,0383369,FTSE 100,631.000000,
Land Securities,LAND,0504502,FTSE 100,768.500000,
Alliance & Leicester,AL.,0038614,FTSE 100,795.000000,
Smiths Group ,SMIN,0818270,FTSE 100,727.000000,
Amersham,AHM,0274753,FTSE 100,565.000000,
Cable & Wireless ,CW.,0162557,FTSE 100,158.000000,
Reuters Group ,RTR,0236913,FTSE 100,236.250000,
mmO2,OOM,3087271,FTSE 100,38.750000,
United Utilities,UU.,0646233,FTSE 100,598.000000,
Smith & Nephew,SN.,0922320,FTSE 100,358.500000,
Imperial Chemical Industries,ICI,0459497,FTSE 100,265.000000,
Man Group,EMG,0294405,FTSE 100,991.000000,
3i Group,III,0888693,FTSE 100,505.000000,
Wolseley,WOS,0976402,FTSE 100,521.000000,
Amvescap,AVZ,0128269,FTSE 100,382.000000,
Dixons Group ,DXNS,0047245,FTSE 100,152.000000,
Morrison (Wm) Supermarkets,MRW,0604316,FTSE 100,186.750000,
Hilton Group,HG.,0500254,FTSE 100,181.250000,
Old Mutual,OML,0738992,FTSE 100,73.000000,
Northern Rock,NRK,0145279,FTSE 100,640.000000,
P & O Princess Cruises,POC,0963590,FTSE 100,385.750000,
Hanson,HNS,0408983,FTSE 100,361.000000,
Next,NXT,0421861,FTSE 100,826.000000,
British Land Co,BLND,0136701,FTSE 100,493.500000,
Shire Pharmaceuticals Group,SHP,0799803,FTSE 100,519.500000,
Safeway,SFW,0049241,FTSE 100,233.000000,
Canary Wharf Group,CWG,3101609,FTSE 100,390.000000,
Friends Provident,FP.,3055977,FTSE 100,132.000000,
Granada ,GAA,0827566,FTSE 100,80.500000,
Rolls-Royce ,RR.,0747761,FTSE 100,137.000000,
Severn Trent ,SVT,0054632,FTSE 100,629.000000,
Bradford & Bingley,BB.,0222815,FTSE 100,316.500000,
Daily Mail & General Trust (A Shs),DMGT,0945736,FTSE 100,465.500000,
Daily Mail & General Trust (Ord),DMGO,0945811,Ineligible,1575.000000,
Hays,HAS,0416102,FTSE 100,118.250000,
Invensys,ISYS,0807041,FTSE 100,58.250000,
Exel,EXL,0448688,FTSE 100,683.500000,
Bunzl,BNZL,0154004,FTSE 100,415.000000,
Royal & Sun Alliance Insurance Group ,RSA,0661689,FTSE 100,134.000000,
Johnson Matthey,JMAT,0476407,FTSE 100,830.000000,
Brambles Industries,BI.,3061673,FTSE 100,247.250000,
GKN,GKN,3064650,FTSE 100,237.000000,
Rexam,REX,0425045,FTSE 250,393.500000,
Alliance UniChem,AUN,0916572,FTSE 250,523.000000,
Emap,EMA,0299303,FTSE 250,665.000000,
Foreign & Col Invest Trust,FRCL,0346607,FTSE 250,177.500000,
Capita Group,CPI,0173474,FTSE 100,250.000000,
Tomkins,TOMK,0896265,FTSE 250,207.000000,
Liberty International Hldgs,LII,0683434,FTSE 250,563.000000,
Tate & Lyle ,TATE,0875413,FTSE 250,328.500000,
Hammerson,HMSO,0406501,FTSE 250,552.500000,
EMI Group,EMI,0044473,FTSE 100,191.750000,
Kelda Group,KEL,0987794,FTSE 250,384.000000,
British Airways ,BAY,0129057,FTSE 100,137.000000,
Whitbread,WTB,3034545,FTSE 250,496.000000,
Sage Group,SGE,0802165,FTSE 100,115.000000,
Rank Group,RNK,0724076,FTSE 250,246.000000,
Xstrata,XTA,3141100,FTSE 100,570.500000,
Corus Group,CS.,0828053,FTSE 100,45.500000,
Easyjet,EZJ,0164199,FTSE 250,362.000000,
Peninsular & Oriental Steam Nav Co,PO.,0680048,FTSE 250,207.250000,
AWG,AWG,0843443,FTSE 250,478.000000,
Slough Estates,SLOU,0814104,FTSE 250,326.000000,
Signet Group,SIG,0040374,FTSE 250,79.000000,
BPB,BPB,0068707,FTSE 250,274.500000,
Provident Financial,PFG,0268596,FTSE 250,544.000000,
ARM Holdings,ARM,0059585,FTSE 250,131.750000,
Schroders,SDR,0240549,FTSE 100,453.000000,
Schroders N/V,SDRC,0239581,FTSE 100,401.500000,
Electrocomponents,ECM,0309644,FTSE 250,295.000000,
Misys,MSY,0385785,FTSE 250,220.000000,
RMC Group,RMC,0726641,FTSE 250,475.000000,
Associated British Ports Hldgs,ABP,0056434,FTSE 250,383.000000,
International Power,IPR,0632016,FTSE 100,111.000000,
Railtrack Group,RTK,0721293,FTSE 250,232.000000,
Egg,EGG,0610528,FTSE 250,144.000000,
Jardine Lloyd Thompson Group,JLT,0520337,FTSE 250,596.500000,
Alliance Trust,ATST,0018304,FTSE 250,2310.000000,
Trinity Mirror,TNI,0903994,FTSE 250,379.500000,
Celltech Group,CCH,0182276,FTSE 250,397.000000,
Chubb,CHB,0015219,FTSE 250,130.000000,
Carlton Communications,CCM,0341925,FTSE 250,158.750000,
Debenhams,DEB,0235103,FTSE 250,286.000000,
London Stock Exchange,LSE,0952985,FTSE 250,352.500000,
Travis Perkins,TPK,0773960,FTSE 250,929.000000,
Matalan,MTN,0259426,FTSE 250,244.000000,
Johnston Press,JPR,0476968,FTSE 250,361.500000,
William Hill,WMH,3169889,,240.000000,
Witan Inv Tst,WTAN,0974406,FTSE 250,286.000000,
Lonmin,LMI,3119248,FTSE 250,710.000000,
BBA Group,BBA,0067748,FTSE 250,214.250000,
Antofagasta,ANTO,0045614,FTSE 250,497.500000,
FirstGroup,FGP,0345217,FTSE 250,230.000000,
Cobham,COB,0343006,FTSE 250,947.500000,
Aggregate Industries,AGG,0323826,FTSE 250,74.500000,
Pilkington ,PILK,0688462,FTSE 250,74.500000,
Pennon Group,PNN,0826994,FTSE 250,685.000000,
Persimmon,PSN,0682538,FTSE 250,337.000000,
Wimpey(George),WMPY,0971344,FTSE 250,240.000000,
IMI,IMI,0457963,FTSE 250,252.000000,
Northern Foods,NFDS,0646608,FTSE 250,162.250000,
United Business Media,UBM,3022421,FTSE 250,254.000000,
Amec,AMEC,0028262,FTSE 250,282.000000,
ICAP,IAP,0445515,FTSE 250,823.000000,
Smith (WH) Group,SMWH,0268530,FTSE 250,325.000000,
Barratt Developments,BDEV,0081180,FTSE 250,341.000000,
Wood Group (John),WG.,3157583,,168.000000,
Burberry Group,BRBY,3174300,,160.000000,
Scottish Mortgage & Trust,SMT,0783884,FTSE 250,259.000000,
Taylor Woodrow,TWOD,0878230,FTSE 250,143.000000,
Chelsfield,CLF,0192178,FTSE 250,278.500000,
Cattles,CTT,0180366,FTSE 250,263.500000,
Logica,LOG,0522708,FTSE 250,174.500000,
Berkeley Group,BKL,0094177,FTSE 250,577.500000,
Millennium & Copthorne Hotels,MLC,0562254,FTSE 250,268.000000,
Colt Telecom Group,CTM,0424699,FTSE 250,49.750000,
Enterprise Inns,ETI,0310475,FTSE 250,442.500000,
Edinburgh Investment Trust,EDIN,0305233,FTSE 250,300.000000,
Balfour Beatty,BBY,0096162,FTSE 250,177.750000,
Aegis Group,AGS,0965756,FTSE 250,66.750000,
Britannic Group,BRT,0434256,FTSE 250,371.000000,
Wilson Bowden,WLB,0970073,FTSE 250,777.500000,
MFI Furniture Group,MFI,0557681,FTSE 250,118.250000,
National Express Group,NEX,0621520,FTSE 250,515.000000,
MyTravel Group,MT.,0010979,FTSE 250,139.500000,
Serco Group,SRP,0797379,FTSE 250,156.500000,
